,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
2019.08.06_1_CP_0.2_16S.exp.,1.858313968,0.404016163,2.672933994,1.242205047,2947.356246,608.2110213,3263896.11,626611.1416,56.19252147,9.386169019,0.638604148,0.077399142,0.492403808,0.157035256
2019.08.07_7.3_lab_16S.exp.,1.828919762,0.423722669,2.708260969,1.329826942,2817.167862,596.6186853,3152083.423,662234.0088,54.21853204,8.995064864,0.63853421,0.090270388,0.517543041,0.163199371
2019.08.06_3.2_16S.exp.,1.747587612,0.477674226,2.159119916,0.965421977,2474.913226,845.2641996,2752126.527,1059456.811,50.48543877,8.065698129,0.684154043,0.143552218,0.603650282,0.211199501
2019.08.06_4.5_16S.exp.,1.86085008,0.442406043,2.283152018,0.921980555,2688.340225,784.460474,3019461.532,922059.2746,51.87614259,8.652150305,0.653972473,0.118317439,0.578424596,0.177826227
2019.08.07_6.3_lab_16S.exp.,1.910423467,0.345223016,2.537325152,0.913995519,2752.073257,584.6208394,3133981.079,673358.9477,51.99993449,8.231506022,0.628065568,0.092337945,0.524154366,0.155507887
2019.08.06_4.3_16S.exp.,1.87493295,0.398142875,2.307881608,0.871747199,2677.840365,717.1689752,3036587.828,847251.9345,51.25497805,8.038407798,0.644588126,0.112104448,0.554675252,0.174769295
2019.08.07_8.3_16S.exp.,1.919560806,0.331200881,2.570678615,0.953240852,2762.302524,570.5683765,3150957.177,648631.1462,51.87567407,8.096538328,0.624871028,0.088370445,0.520008971,0.150759714
2019.08.07_6.1_16S.exp.,1.908611793,0.338512774,2.572718343,0.953718912,2749.346239,571.1747605,3145578.775,654137.6361,51.61979953,7.884896554,0.624709147,0.089626466,0.525228112,0.150243869
2019.08.06_1.4_16S.exp.,1.852999527,0.404016682,2.611667066,1.179021548,2844.799605,612.978363,3179446.95,671798.0367,54.57069581,9.152972589,0.638287108,0.08822032,0.510482229,0.162277177
2019.08.07_8.1_lab_16S.exp.,1.919253291,0.348130713,2.591001527,0.948287794,2786.254226,589.5997251,3168524.247,659077.312,52.35700358,8.404014931,0.627328024,0.088659536,0.512863704,0.153806344
2019.08.06_1.2_16S.exp.,1.86527946,0.392657782,2.599423572,1.146775873,2811.724925,623.8223268,3161783.527,692615.6062,53.68548503,8.933152328,0.636509298,0.091631013,0.513499163,0.162127247
2019.08.07_7.1_16S.exp.,1.813742766,0.433353087,2.694082198,1.355858573,2837.020343,625.5117168,3161471.871,688535.1596,54.60592485,9.076620463,0.642454172,0.091925886,0.520600177,0.166377826
2019.08.07_8.4_16S.exp.,1.920147727,0.33220707,2.565920124,0.963916796,2787.899164,580.6371555,3174444.398,644431.6207,52.2445093,8.275376289,0.625122115,0.086049144,0.515699524,0.149559267
2019.08.06_1_CP_ULT_16S.exp.,1.872638294,0.388390635,2.641299178,1.114624414,2826.357764,577.3956652,3172160.125,642459.5082,54.395698,9.116610086,0.634526676,0.086203635,0.510367817,0.157693675
2019.08.06_3.3_16S.exp.,1.772671516,0.467417238,2.208702093,0.927036252,2516.525687,827.2796553,2815876.394,1029750.005,50.50998527,7.95737471,0.675878565,0.138947828,0.592529983,0.20588906
2019.08.06_5.2_16S.exp.,1.675135277,0.514234384,2.386592716,0.923423282,2574.181676,733.6063586,2828001.418,889423.1929,54.68008569,9.856318981,0.680219963,0.120639165,0.620328295,0.181606936
2019.08.06_4.4_16S.exp.,1.831702695,0.439015866,2.268961331,0.938967646,2671.847564,770.5853042,2995430.399,909369.7162,52.01473142,8.660866924,0.655418178,0.118600975,0.574221544,0.18180544
2019.08.06_5.4_16S.exp.,1.668764247,0.514950562,2.4366514,0.912380292,2613.835475,719.8904899,2881701.556,857769.2345,55.17724518,9.76701814,0.675423136,0.113758871,0.617063926,0.174000335
2019.08.06_4.2_16S.exp.,1.866624603,0.411721248,2.306926636,0.933250775,2748.501321,753.2077991,3094570.207,855653.4984,52.34864543,8.675785875,0.645232123,0.107502405,0.564573807,0.167992986
2019.08.07_8.2_16S.exp.,1.912916017,0.343514051,2.534227738,0.944536256,2779.420974,593.5275349,3163466.935,664825.3066,52.21854518,8.3150206,0.626637237,0.088916079,0.522541275,0.151577024
2019.08.07_7.2_lab_16S.exp.,1.848268312,0.415342592,2.684303667,1.253554296,2863.019735,605.7703804,3191919.811,656732.5692,55.01762734,9.169624068,0.638292334,0.086537002,0.510140712,0.160456221
2019.08.06_1.3_16S.exp.,1.851045146,0.398140991,2.632005622,1.216606014,2791.3537,605.3589728,3139832.925,682342.9781,53.45343053,8.79999054,0.635948638,0.092120239,0.519424276,0.161587802
2019.08.07_6.2_lab_16S.exp.,1.900765639,0.355366702,2.57108418,0.971079273,2751.561819,574.7447224,3127380.82,664880.4835,52.25146948,8.350762121,0.629408155,0.092105711,0.519088656,0.157071446
2019.08.06_2.3_surface_16S.exp.,1.904683828,0.087352667,3.96693447,0.341698924,3535.6377,195.7544425,3774510.108,226472.4653,61.19687638,2.292299417,0.638443221,0.013764454,0.386223725,0.036590561
2019.08.06_2.2_bottom_16S.exp.,1.851291588,0.281287177,3.624466801,0.888991077,3317.621526,582.36742,3546820.942,648280.2194,60.00849948,5.504842522,0.649197894,0.058379155,0.432113654,0.128885548
2019.08.06_5.1_16S.exp.,1.653906027,0.520056697,2.524061622,0.876113555,2668.127122,713.6248343,2954423.813,826239.643,55.5034435,9.706497053,0.670165419,0.106399397,0.610043179,0.168587168
2019.08.06_4.1_16S.exp.,1.872310165,0.399323115,2.450902481,1.058655586,2838.050152,761.5678571,3185655.837,834653.25,53.1430231,8.791078707,0.642719987,0.098570761,0.546845734,0.165425547
2019.08.06_2.2_surface_16S.exp.,1.90606007,0.07960543,3.967811412,0.349085814,3536.204579,209.499279,3774778.442,240289.2278,61.16656519,2.408527654,0.638210397,0.010231935,0.385296184,0.030980571
2019.08.07_8.2_lab_16S.exp.,1.910003137,0.345931786,2.578645167,0.956998217,2769.945823,585.2023979,3149100.339,663952.6085,52.18751383,8.315213462,0.627681124,0.090424636,0.515398861,0.154990493
2019.08.07_8.1_16S.exp.,1.906366025,0.350337378,2.535256587,0.958340792,2753.243613,586.0288505,3132838.966,674017.0846,52.02064807,8.204094076,0.628742471,0.092450762,0.519888516,0.156693342
2019.08.06_4_CP_0.2_16S.exp.,1.902744591,0.366683216,2.222931366,0.872623891,2856.123118,817.952333,3231251.214,872289.2437,52.18929728,8.609937632,0.638714234,0.100450596,0.553998983,0.158459067
2019.08.07_6.3_16S.exp.,1.893716169,0.357736129,2.568149639,0.980770244,2754.039932,588.9404312,3137714.305,675717.201,51.98372603,8.157016535,0.629213045,0.092381796,0.519103756,0.156893037
2019.08.06_2.1_surface_16S.exp.,1.906633081,0.089050306,3.934172964,0.441619795,3519.613518,252.0551919,3762401.279,266467.5584,60.93366686,3.055997194,0.637503719,0.013140284,0.388210912,0.03897655
2019.08.07_7.5_16S.exp.,1.83319612,0.414731794,2.75249474,1.33700807,2838.090636,596.362578,3179880.446,650477.3884,54.18885578,8.910106595,0.636130441,0.087345806,0.517679924,0.158602248
2019.08.06_2.3_bottom_16S.exp.,1.848024153,0.274454347,3.615737245,0.895673354,3328.959729,578.2255119,3564652.085,639702.4422,59.92376993,5.50104605,0.647485849,0.057002201,0.428306493,0.126291472
2019.08.07_6.5_16S.exp.,1.871070533,0.387648714,2.517930304,1.006329473,2709.919273,647.9932858,3066574.831,771924.341,52.0682597,8.402891179,0.639625664,0.105677642,0.535781253,0.170839457
2019.08.07_7.3_16S.exp.,1.831681753,0.419876452,2.711410316,1.267013702,2804.890107,593.2100776,3141479.559,668706.8829,54.12207219,8.946342664,0.639299522,0.09196233,0.516023111,0.164571862
2019.08.06_3.1_16S.exp.,1.758992471,0.467070847,2.174989826,0.941011189,2454.336446,822.6810641,2754071.805,1046708.764,49.65372358,7.272789015,0.679742622,0.143936333,0.601823058,0.208001301
2019.08.07_7.1_lab_16S.exp.,1.811104061,0.43741644,2.683110167,1.350013089,2831.037389,639.4568661,3145756.331,713679.1497,54.9369322,9.214355856,0.645923012,0.094693083,0.525464558,0.1701652
2019.08.06_4_CP_ULT_16S.exp.,1.913977506,0.374325657,2.194186948,0.907283484,2903.001811,840.7437174,3266427.437,883970.0694,53.01407651,8.994133413,0.640593755,0.09730219,0.555155853,0.156833033
2019.08.07_6.1_lab_16S.exp.,1.909761073,0.354919941,2.578550435,0.97096304,2782.691035,585.2438633,3160840.424,657783.4024,52.55195433,8.465958911,0.628315699,0.088704529,0.512271528,0.154404259
2019.08.07_6.2_16S.exp.,1.890535768,0.363100729,2.545012215,0.978710289,2752.668744,609.9146619,3127897.624,702916.4509,52.13109535,8.247513447,0.631518268,0.095329382,0.522283432,0.160190422
2019.08.07_7.4_16S.exp.,1.849755553,0.404107348,2.690201726,1.262234248,2819.525698,584.2886518,3167510.121,642595.6444,53.90419435,8.898138587,0.634902305,0.087700108,0.514534209,0.158580307
2019.08.06_1.1_16S.exp.,1.85284928,0.395970621,2.628284954,1.207943723,2819.384061,626.5767135,3162320.748,693399.4226,53.84061425,8.939334697,0.637181846,0.091379904,0.517405932,0.16188758
2019.08.07_6.4_16S.exp.,1.887144917,0.370276539,2.567610905,0.993889518,2741.029781,600.0519569,3116549.555,699748.9234,52.07356136,8.250001093,0.632191579,0.09654216,0.528086402,0.160810841
2019.08.07_8.3_lab_16S.exp.,1.913793078,0.344418284,2.555204866,0.948019025,2777.827053,609.1838925,3159807.166,685150.6644,52.18067324,8.340758617,0.628705545,0.091212519,0.51712057,0.155545483
2019.08.07_7.2_16S.exp.,1.822616445,0.420060923,2.746515274,1.380481219,2851.653671,616.7199586,3185743.49,668340.6791,54.48543872,9.017633217,0.6386428,0.088078574,0.522929819,0.160711265
2019.08.06_2.1_bottom_16S.exp.,1.849582367,0.290003223,3.608489707,0.938740562,3311.552708,609.9902818,3547684.698,669700.7075,59.72700276,5.757348086,0.646917621,0.049658854,0.429840937,0.122756407
